Time,Stim Cre,Rec Cre,Stim Cre NMDA,Rec Cre NMDA,Stim KO,Rec KO,Stim KO NMDA,Rec KO NMDA
0,-56.16446304,-59.85899734,-47.65253448,-51.38364029,-48.88841629,-40.06734848,-48.04670334,-39.0341301
0.5,-56.16056824,-59.85811996,-47.66315079,-51.40221786,-48.88767242,-40.07181168,-48.04799271,-39.05218506
1,-56.16369247,-59.85823822,-47.66049576,-51.39027405,-48.87129593,-40.06362534,-48.05529785,-39.05304337
1.5,-56.16036224,-59.85269547,-47.653862,-51.38629532,-48.85715485,-40.06064987,-48.06475449,-39.05820084
2,-56.14945221,-59.84692001,-47.64590073,-51.36904526,-48.85641098,-40.0621376,-48.06690598,-39.07152557
2.5,-56.14596558,-59.84955978,-47.66315079,-51.37567902,-48.84077835,-40.05767059,-48.07206345,-39.06851578
3,-56.14589691,-59.84653473,-47.64590073,-51.36373901,-48.83482361,-40.05990219,-48.07894135,-39.07281494
3.5,-56.14369965,-59.85379028,-47.65651703,-51.36108398,-48.83259201,-40.06064987,-48.08495712,-39.07754517
4,-56.13940811,-59.85109711,-47.665802,-51.33985519,-48.82738113,-40.06734848,-48.09312439,-39.07926178
4.5,-56.14868546,-59.84511185,-47.65253448,-51.3517952,-48.82738113,-40.06511307,-48.08624649,-39.07754517
5,-56.14674377,-59.84875488,-47.65518951,-51.35312271,-48.82217026,-40.08446503,-48.08882523,-39.07668304
5.5,-56.15351868,-59.83813858,-47.63926697,-51.37700653,-48.828125,-40.08818817,-48.0939827,-39.07754517
6,-56.14605331,-59.84060669,-47.64191818,-51.36373901,-48.84747696,-40.08818817,-48.09269333,-39.07668304
6.5,-56.15008163,-59.83649826,-47.63396072,-51.3849678,-48.84003448,-40.08223343,-48.0939827,-39.08141327
7,-56.15040588,-59.84193802,-47.63528442,-51.37170029,-48.84822083,-40.09712219,-48.09054565,-39.08485031
7.5,-56.14913559,-59.84275818,-47.62599945,-51.35842896,-48.84747696,-40.09786606,-48.09613419,-39.08528137
8,-56.1542778,-59.84223938,-47.63396072,-51.37037277,-48.86087418,-40.10307312,-48.10129166,-39.08613968
8.5,-56.15624619,-59.8419342,-47.62732315,-51.36904526,-48.85566711,-40.11349487,-48.09183502,-39.08742905
9,-56.15571594,-59.84047318,-47.63661194,-51.39292908,-48.86385345,-40.11051941,-48.08452606,-39.09000778
9.5,-56.15851974,-59.84719849,-47.61671066,-51.38762283,-48.85789871,-40.11275101,-48.07507324,-39.08786011
10,-56.15398407,-59.83873367,-47.62201691,-51.39690781,-48.85417557,-40.12019348,-48.07636261,-39.09387589
10.5,-56.1577301,-59.84710312,-47.60211563,-51.39292908,-48.86385345,-40.12838364,-48.06733322,-39.09688568
11,-56.16352463,-59.85203552,-47.5994606,-51.39690781,-48.86534119,-40.11647415,-48.05271912,-39.09473801
11.5,-56.15921402,-59.8491745,-47.60211563,-51.40221786,-48.86534119,-40.12838364,-48.04240417,-39.10290527
12,-56.17043304,-59.85390472,-47.59813309,-51.37966156,-48.8787384,-40.11349487,-48.02521133,-39.09946442
12.5,-56.16517639,-59.85107803,-47.60078812,-51.35842896,-48.88841629,-40.11200714,-48.01661682,-39.09860611
13,-56.16444016,-59.86195374,-47.60344315,-51.35842896,-48.90106964,-40.09712219,-48.01016617,-39.10376358
13.5,-56.16798782,-59.85946274,-47.62201691,-51.35046768,-48.9040451,-40.10307312,-48.00329208,-39.10462189
14,-56.16730881,-59.85884094,-47.62865067,-51.36108398,-48.90628052,-40.09637451,-47.99985123,-39.10677338
14.5,-56.16754913,-59.86134338,-47.62732315,-51.37170029,-48.91521072,-40.08297729,-47.99469376,-39.10505295
15,-56.16723633,-59.85308075,-47.6432457,-51.36108398,-48.92340088,-40.08000183,-48.00157166,-39.09258652
15.5,-56.16719055,-59.85397339,-47.63793945,-51.3624115,-48.92340088,-40.07479095,-48.00415039,-39.10290527
16,-56.1686821,-59.85611343,-47.64855576,-51.37700653,-48.93754196,-40.08223343,-48.00157166,-39.09731674
16.5,-56.16248703,-59.85535812,-47.653862,-51.37170029,-48.93977356,-40.07702255,-48.00587082,-39.09774399
17,-56.16212082,-59.85599136,-47.64059448,-51.3624115,-48.95093918,-40.08148956,-47.99985123,-39.09774399
17.5,-56.15605927,-59.85134125,-47.64855576,-51.37302399,-48.97252655,-40.08372116,-48.00801849,-39.10204315
18,-56.16423416,-59.85836029,-47.653862,-51.37833405,-48.97996902,-40.07627869,-48.0187645,-39.09129715
18.5,-56.16449356,-59.85968781,-47.64457321,-51.37170029,-48.97922516,-40.0807457,-48.02521133,-39.0908699
19,-56.16871643,-59.86047363,-47.65120697,-51.3849678,-48.99187851,-40.09637451,-48.02822113,-39.09000778
19.5,-56.17089844,-59.85590363,-47.64855576,-51.37966156,-49.00899887,-40.09637451,-48.0333786,-39.08141327
20,-56.17027664,-59.85593796,-47.65253448,-51.36373901,-49.00974274,-40.09116745,-48.04068375,-39.08184052
20.5,-56.17753983,-59.86238861,-47.65916824,-51.38098526,-49.00230026,-40.10456467,-48.05487061,-39.07883453
21,-56.17752457,-59.86158371,-47.66049576,-51.36771774,-48.99783325,-40.10307312,-48.06303787,-39.07926178
21.5,-56.18270493,-59.86590195,-47.66712952,-51.3743515,-48.99113464,-40.11573029,-48.06905365,-39.083992
22,-56.1913681,-59.85874557,-47.6644783,-51.37302399,-48.99262238,-40.12466049,-48.07249069,-39.083992
22.5,-56.19118118,-59.85707092,-47.64987946,-51.36373901,-48.99262238,-40.13731384,-48.08409882,-39.09387589
23,-56.19417572,-59.86251831,-47.64590073,-51.37302399,-54.65847015,-40.13284683,-48.08581543,-39.10032272
