Time,KO + Cre,KO + Cre NMDA,KO,KO NMDA
0,-56.3659668,-57.70874023,-49.25537109,-47.24121094
0.5,-56.30493164,-57.67822266,-49.25537109,-47.21069336
1,-56.27441406,-57.76977539,-49.25537109,-47.33276367
1.5,-56.33544922,-57.6171875,-49.28588867,-47.27172852
2,-56.27441406,-57.64770508,-49.25537109,-47.33276367
2.5,-56.30493164,-57.58666992,-49.22485352,-47.33276367
3,-56.3659668,-57.55615234,-49.28588867,-47.36328125
3.5,-56.33544922,-57.55615234,-49.22485352,-47.30224609
4,-56.3659668,-57.52563477,-49.34692383,-47.36328125
4.5,-56.30493164,-57.49511719,-49.28588867,-47.33276367
5,-56.3659668,-57.46459961,-49.28588867,-47.33276367
5.5,-56.30493164,-57.43408203,-49.34692383,-47.36328125
6,-56.3659668,-57.46459961,-49.28588867,-47.30224609
6.5,-56.30493164,-57.40356445,-49.34692383,-47.36328125
7,-56.30493164,-57.3425293,-49.31640625,-47.39379883
7.5,-56.3659668,-57.25097656,-49.37744141,-47.39379883
8,-56.24389648,-57.22045898,-49.37744141,-47.33276367
8.5,-56.30493164,-57.22045898,-49.40795898,-47.27172852
9,-56.27441406,-57.18994141,-49.46899414,-47.30224609
9.5,-56.21337891,-57.12890625,-49.49951172,-47.36328125
10,-56.24389648,-57.09838867,-49.5300293,-47.39379883
10.5,-56.21337891,-57.09838867,-49.56054688,-47.36328125
11,-56.30493164,-57.00683594,-49.65209961,-47.39379883
11.5,-56.33544922,-56.88476563,-49.62158203,-47.39379883
12,-56.24389648,-56.88476563,-49.62158203,-47.36328125
12.5,-56.24389648,-56.82373047,-49.68261719,-47.45483398
13,-56.21337891,-56.73217773,-49.65209961,-47.42431641
13.5,-56.18286133,-56.73217773,-49.59106445,-47.45483398
14,-56.27441406,-56.70166016,-49.59106445,-47.39379883
14.5,-56.21337891,-56.61010742,-49.59106445,-47.36328125
15,-56.15234375,-56.61010742,-49.74365234,-47.39379883
15.5,-56.18286133,-56.54907227,-49.71313477,-47.39379883
16,-56.12182617,-56.48803711,-49.71313477,-47.48535156
16.5,-56.15234375,-56.45751953,-49.77416992,-47.51586914
17,-56.12182617,-56.3659668,-49.65209961,-47.45483398
17.5,-56.06079102,-56.42700195,-49.65209961,-47.48535156
18,-56.12182617,-56.33544922,-49.71313477,-47.48535156
18.5,-56.03027344,-56.21337891,-49.65209961,-47.54638672
19,-55.99975586,-56.21337891,-49.65209961,-47.48535156
19.5,-55.99975586,-56.15234375,-49.65209961,-47.54638672
20,-55.99975586,-56.09130859,-49.74365234,-47.51586914
20.5,-55.9387207,-56.03027344,-49.71313477,-47.54638672
21,-55.9387207,-55.96923828,-49.71313477,-47.51586914
21.5,-55.9387207,-55.9387207,-49.71313477,-47.54638672
22,-55.9387207,-55.84716797,-49.77416992,-47.54638672
22.5,-55.87768555,-55.87768555,-49.68261719,-47.60742188
23,-55.90820313,-55.75561523,-49.65209961,-47.63793945
23.5,-55.84716797,-55.69458008,-49.65209961,-47.60742188
24,-55.81665039,-55.63354492,-49.68261719,-47.60742188
24.5,-55.81665039,-55.57250977,-49.74365234,-47.5769043
25,-55.78613281,-55.54199219,-49.74365234,-47.63793945
25.5,-55.81665039,-55.41992188,-49.83520508,-47.63793945
26,-55.69458008,-55.45043945,-49.83520508,-47.66845703
26.5,-55.75561523,-55.45043945,-49.89624023,-47.66845703
27,-55.75561523,-55.35888672,-49.8046875,-47.72949219
27.5,-55.69458008,-55.35888672,-49.86572266,-47.72949219
28,-55.75561523,-55.26733398,-49.86572266,-47.72949219
28.5,-55.72509766,-55.20629883,-49.89624023,-47.72949219
29,-55.6640625,-55.11474609,-49.83520508,-47.76000977
29.5,-55.60302734,-55.11474609,-49.89624023,-47.69897461
30,-55.57250977,-55.02319336,-49.89624023,-47.76000977
30.5,-55.63354492,-54.9621582,-49.92675781,-47.82104492
31,-55.51147461,-54.90112305,-49.89624023,-47.79052734
31.5,-55.48095703,-54.99267578,-49.89624023,-47.8515625
32,-55.51147461,-54.87060547,-49.95727539,-47.88208008
32.5,-55.51147461,-54.77905273,-49.89624023,-47.88208008
33,-55.48095703,-54.71801758,-49.98779297,-47.88208008
33.5,-55.54199219,-54.65698242,-49.98779297,-47.8515625
34,-55.41992188,-54.65698242,-49.95727539,-47.8515625
34.5,-55.45043945,-54.56542969,-49.89624023,-47.82104492
35,-55.3894043,-54.4128418,-49.98779297,-47.79052734
35.5,-55.3894043,-54.35180664,-49.95727539,-47.8515625
36,-55.32836914,-54.32128906,-49.92675781,-47.8515625
36.5,-55.29785156,-54.22973633,-49.98779297,-47.91259766
37,-55.29785156,-54.29077148,-49.98779297,-47.91259766
